cve_id,cwe,cvss_v31_base_score,cvss_v31_exploitability_score,cvss_v31_impact_score,cvss_v2_base_score,cvss_v2_exploitability_score,cvss_v2_impact_score,fuente_cisa,fuente_nuclei
CVE-2010-1980,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1981,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1982,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1983,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-20103,CWE-912,9.8,3.9,5.9,,,,False,True
CVE-2010-2018,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-2033,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-2034,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-2035,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-2036,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-2037,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-2045,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-2050,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-2122,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-2128,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-2259,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-2307,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-2507,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-2568,NVD-CWE-noinfo,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2010-2572,CWE-120,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2010-2680,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-2682,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-2857,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-2861,CWE-22,9.8,3.9,5.9,7.5,10.0,6.4,True,True
CVE-2010-2883,CWE-787,7.3,1.3,5.9,9.3,8.6,10.0,True,False
CVE-2010-2918,CWE-94,,,,7.5,10.0,6.4,False,True
CVE-2010-2920,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-3035,NVD-CWE-noinfo,7.5,3.9,3.6,5.0,10.0,2.9,True,False
CVE-2010-3203,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-3333,CWE-787,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2010-3426,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-3765,CWE-119,9.8,3.9,5.9,9.3,8.6,10.0,True,False
CVE-2010-3867,CWE-22,,,,7.1,3.9,10.0,False,True
CVE-2010-3904,CWE-1284,7.8,1.8,5.9,7.2,3.9,10.0,True,False
CVE-2010-3962,CWE-416,8.1,2.2,5.9,9.3,8.6,10.0,True,False
CVE-2010-4231,CWE-22,,,,7.8,10.0,6.9,False,True
CVE-2010-4239,CWE-20,9.8,3.9,5.9,7.5,10.0,6.4,False,True
CVE-2010-4282,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-4344,CWE-787,9.8,3.9,5.9,9.3,8.6,10.0,True,False
CVE-2010-4345,NVD-CWE-noinfo,7.8,1.8,5.9,6.9,3.4,10.0,True,False
CVE-2010-4345,CWE-77,7.8,1.8,5.9,6.9,3.4,10.0,True,False
CVE-2010-4398,CWE-787,7.8,1.8,5.9,7.2,3.9,10.0,True,False
CVE-2010-4617,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-4719,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-4769,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-4977,CWE-89,,,,7.5,10.0,6.4,False,True
CVE-2010-5028,CWE-89,,,,7.5,10.0,6.4,False,True
CVE-2010-5278,CWE-22,,,,4.3,8.6,2.9,False,True
CVE-2010-5286,CWE-22,,,,10.0,10.0,10.0,False,True
CVE-2010-5326,NVD-CWE-noinfo,10.0,3.9,6.0,10.0,10.0,10.0,True,False
CVE-2010-5326,CWE-306,10.0,3.9,6.0,10.0,10.0,10.0,True,False
CVE-2010-5330,CWE-77,9.8,3.9,5.9,5.0,10.0,2.9,True,False
CVE-2011-0049,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2011-0518,CWE-22,,,,5.1,4.9,6.4,False,True
CVE-2011-0609,NVD-CWE-noinfo,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2011-0611,CWE-843,8.8,2.8,5.9,9.3,8.6,10.0,True,False
CVE-2011-0762,CWE-400,,,,4.0,8.0,2.9,False,True
CVE-2011-1669,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2011-1823,CWE-190,7.8,1.8,5.9,7.2,3.9,10.0,True,False
CVE-2011-1889,CWE-119,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2011-2005,NVD-CWE-noinfo,7.8,1.8,5.9,7.2,3.9,10.0,True,False
CVE-2011-2462,CWE-787,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2011-2523,CWE-78,9.8,3.9,5.9,10.0,10.0,10.0,False,True
CVE-2011-2744,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2011-2780,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2011-3171,CWE-22,,,,3.6,3.9,4.9,False,True
CVE-2011-3315,CWE-22,,,,7.8,10.0,6.9,False,True
CVE-2011-3402,NVD-CWE-noinfo,8.8,2.8,5.9,9.3,8.6,10.0,True,False
CVE-2011-3544,NVD-CWE-noinfo,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2011-3544,CWE-284,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2011-3600,CWE-611,7.5,3.9,3.6,5.0,10.0,2.9,False,True
CVE-2011-4336,CWE-79,6.1,2.8,2.7,4.3,8.6,2.9,False,True
CVE-2011-4618,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2011-4624,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2011-4640,CWE-22,,,,4.0,8.0,2.9,False,True
CVE-2011-4723,CWE-312,5.7,2.1,3.6,6.8,8.0,6.9,True,False
CVE-2011-4804,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2011-4926,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2011-5106,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2011-5107,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2011-5179,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2011-5181,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2011-5252,CWE-20,,,,5.8,8.6,4.9,False,True
CVE-2011-5265,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2012-0151,CWE-20,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2012-0158,CWE-94,8.8,2.8,5.9,9.3,8.6,10.0,True,False
CVE-2012-0391,CWE-94,9.8,3.9,5.9,9.3,8.6,10.0,True,False
CVE-2012-0392,NVD-CWE-noinfo,,,,6.8,8.6,6.4,False,True
CVE-2012-0394,CWE-94,,,,6.8,8.6,6.4,False,True
CVE-2012-0507,NVD-CWE-noinfo,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2012-0507,CWE-843,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2012-0518,CWE-601,4.7,2.8,1.4,4.3,8.6,2.9,True,False
CVE-2012-0754,CWE-787,8.1,2.2,5.9,9.3,8.6,10.0,True,False
CVE-2012-0767,CWE-79,6.1,2.8,2.7,4.3,8.6,2.9,True,False
CVE-2012-0896,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2012-0901,CWE-79,,,,4.3,8.6,2.9,False,True
CVE-2012-0981,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2012-0991,CWE-22,,,,3.5,6.8,2.9,False,True
CVE-2012-0996,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2012-10018,CWE-918,8.3,3.9,3.7,,,,False,True
CVE-2012-1226,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2012-1535,CWE-20,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2012-1535,CWE-94,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2012-1710,NVD-CWE-noinfo,9.8,3.9,5.9,7.5,10.0,6.4,True,False
CVE-2012-1723,NVD-CWE-noinfo,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2012-1723,CWE-284,9.8,3.9,5.9,10.0,10.0,10.0,True,False
CVE-2012-1823,CWE-77,9.8,3.9,5.9,7.5,10.0,6.4,True,True
