tipo,vendor,producto,cantidad_cves,v31_score_promedio,v31_score_maximo
Aplicación,ideal,com_moofaq,1,,
Aplicación,if_surfalert_project,if_surfalert,1,,
Aplicación,ijobid,com_cmimarketplace,1,,
Aplicación,ijoomla,com_news_portal,1,,
Aplicación,import_legacy_media_project,import_legacy_media,1,6.1,6.1
Aplicación,inboundnow,call_to_action,1,,
Aplicación,joomlacomponent.inetlanka,com_multiroot,1,,
Aplicación,joomlamart,com_jacomment,1,,
Aplicación,joomlamo,com_cartweberp,1,,
Aplicación,joomlamo,com_jinventory,1,,
Aplicación,indusoft,web_studio,1,9.8,9.8
Aplicación,inertialfate,com_if_nexus,1,,
Aplicación,infusionsoft_project,infusionsoft,1,,
Aplicación,intel,computer_vision_annotation_tool,1,10.0,10.0
Aplicación,intel,datacenter_manager,1,10.0,10.0
Aplicación,intel,ethernet_diagnostics_driver_iqvw32.sys,1,7.8,7.8
Aplicación,intel,ethernet_diagnostics_driver_iqvw64.sys,1,7.8,7.8
Aplicación,intel,genomics_kernel_library,1,10.0,10.0
Aplicación,intel,oneapi_sample_browser,1,10.0,10.0
Aplicación,intel,secure_device_onboard,1,10.0,10.0
Aplicación,intel,system_studio,1,10.0,10.0
Aplicación,iwork,webglimpse,1,,
Aplicación,jvideodirect,com_jvideodirect,1,,
Aplicación,jvitals,com_agora,1,,
Aplicación,kanich,com_jotloader,1,,
Aplicación,kaseya,virtual_system_administrator,1,,
Aplicación,katz,infusionsoft_gravity_forms,1,6.1,6.1
Aplicación,kazulah,com_horoscope,1,,
Aplicación,johnmccollum,com_advertising,1,,
Aplicación,joobi,com_jstore,1,,
Aplicación,jooforge,com_jukebox,1,,
Aplicación,joomla,com_imagebrowser,1,,
Aplicación,joomla,rsfiles,1,,
Aplicación,joomla-research,com_jresearch,1,,
Aplicación,joomla.batjo,com_shoutbox,1,,
Aplicación,joomlabiblestudy,com_biblestudy,1,,
Aplicación,joomlacomponent.inetlanka,com_drawroot,1,,
Aplicación,joomlacomponent.inetlanka,com_multimap,1,,
Aplicación,foobla,com_obsuggest,1,,
Aplicación,lotuscms,fraise,1,,
Aplicación,m0r0n,com_mscomment,1,,
Aplicación,mail-masta_project,mail-masta,1,7.5,7.5
Aplicación,mainwp,mainwp_dashboard,1,7.2,7.2
Aplicación,manageengine,firewall_analyzer,1,,
Aplicación,joomlamo,com_userstatus,1,,
Aplicación,joomlamo,com_weberpcustomer,1,,
Aplicación,joomlanook,com_hsconfig,1,,
Aplicación,joomlapraise,com_projectfork,1,,
Aplicación,joomlart,com_jashowcase,1,,
Aplicación,joomlart,com_javoice,1,,
Aplicación,joomlaserviceprovider,wsecure,1,8.8,8.8
Aplicación,joomlashowroom,pro_desk_support_center,1,,
Aplicación,joomlaworks,jw_allvideos,1,,
Aplicación,jquery_file_upload_project,jquery_file_upload,1,9.8,9.8
Aplicación,la-souris-verte,com_svmap,1,,
Aplicación,last.fm_rotation_plugin_project,lastfm-rotation_plugin,1,,
Aplicación,laurent_destailleur,awstats,1,,
Aplicación,levelfourdevelopment,wp-easycart,1,,
Aplicación,lighttpd,lighttpd,1,9.8,9.8
Aplicación,lispeltuut,com_archeryscores,1,,
Aplicación,gohigheris,com_jwhmcs,1,,
